Sum(Hourly energy / kWhr),MERRA 2 hourly avg irradiance W/m2,Cov met station irradiation / kWh/m2,System 1336 / kWh/m2 / hr,Date time
0,0,0,0,01/01/2014 00:00
0,0,0,0,01/01/2014 01:00
0,0,0,0,01/01/2014 02:00
0,0,0,0,01/01/2014 03:00
0,0,0,0,01/01/2014 04:00
0,0,0,0,01/01/2014 05:00
0,0,0,0,01/01/2014 06:00
0,2.907,5,0,01/01/2014 07:00
0.0014,15.341,38,0.0000357143,01/01/2014 08:00
0.0014,26.903,40,0.0000357143,01/01/2014 09:00
0.02128,32.042,52,0.0005428571,01/01/2014 10:00
0.05146,25.795,63,0.0013127551,01/01/2014 11:00
0.06644,19.124,58,0.001694898,01/01/2014 12:00
0.00732,8.332,57,0.0001867347,01/01/2014 13:00
0.00238,1.729,23,0.0000607143,01/01/2014 14:00
0,0,0,0,01/01/2014 15:00
0,0,0,0,01/01/2014 16:00
0,0,0,0,01/01/2014 17:00
0,0,0,0,01/01/2014 18:00
0,0,0,0,01/01/2014 19:00
0,0,0,0,01/01/2014 20:00
0,0,0,0,01/01/2014 21:00
0,0,0,0,01/01/2014 22:00
0,0,0,0,01/01/2014 23:00
0,0,0,0,02/01/2014 00:00
0,0,0,0,02/01/2014 01:00
0,0,0,0,02/01/2014 02:00
0,0,0,0,02/01/2014 03:00
0,0,0,0,02/01/2014 04:00
0,0,0,0,02/01/2014 05:00
0,0,0,0,02/01/2014 06:00
0.05504,6.179,27,0.0014040816,02/01/2014 07:00
0.88958,48.149,275,0.0226933673,02/01/2014 08:00
1.85403,123.213,545,0.0472966837,02/01/2014 09:00
2.36525,205.579,711,0.0603380102,02/01/2014 10:00
2.57805,209.667,712,0.0657665816,02/01/2014 11:00
2.38295,169.512,761,0.0607895408,02/01/2014 12:00
1.35702,92.246,475,0.0346178571,02/01/2014 13:00
0.30524,22.395,83,0.0077867347,02/01/2014 14:00
0,0,0,0,02/01/2014 15:00
0,0,0,0,02/01/2014 16:00
0,0,0,0,02/01/2014 17:00
0,0,0,0,02/01/2014 18:00
0,0,0,0,02/01/2014 19:00
0,0,0,0,02/01/2014 20:00
0,0,0,0,02/01/2014 21:00
0,0,0,0,02/01/2014 22:00
0,0,0,0,02/01/2014 23:00
0,0,0,0,03/01/2014 00:00
0,0,0,0,03/01/2014 01:00
0,0,0,0,03/01/2014 02:00
0,0,0,0,03/01/2014 03:00
0,0,0,0,03/01/2014 04:00
0,0,0,0,03/01/2014 05:00
0,0,0,0,03/01/2014 06:00
0.02184,6.652,19,0.0005571429,03/01/2014 07:00
0.54793,39.971,217,0.0139778061,03/01/2014 08:00
1.09701,84.816,421,0.027984949,03/01/2014 09:00
1.37014,106.588,390,0.034952551,03/01/2014 10:00
1.45723,112.786,487,0.0371742347,03/01/2014 11:00
1.22526,99.768,431,0.0312566327,03/01/2014 12:00
0.30248,50.367,233,0.0077163265,03/01/2014 13:00
0.20017,9.686,73,0.0051063776,03/01/2014 14:00
0,0,0,0,03/01/2014 15:00
0,0,0,0,03/01/2014 16:00
0,0,0,0,03/01/2014 17:00
0,0,0,0,03/01/2014 18:00
0,0,0,0,03/01/2014 19:00
0,0,0,0,03/01/2014 20:00
0,0,0,0,03/01/2014 21:00
0,0,0,0,03/01/2014 22:00
0,0,0,0,03/01/2014 23:00
0,0,0,0,04/01/2014 00:00
0,0,0,0,04/01/2014 01:00
0,0,0,0,04/01/2014 02:00
0,0,0,0,04/01/2014 03:00
0,0,0,0,04/01/2014 04:00
0,0,0,0,04/01/2014 05:00
0,0,0,0,04/01/2014 06:00
0,2.416,6,0,04/01/2014 07:00
0.02393,13.719,55,0.0006104592,04/01/2014 08:00
0.06963,37.775,84,0.0017762755,04/01/2014 09:00
0.08219,95.467,98,0.0020966837,04/01/2014 10:00
0.15935,126.403,133,0.004065051,04/01/2014 11:00
0.10065,83.406,88,0.002567602,04/01/2014 12:00
0.14306,33.458,189,0.0036494898,04/01/2014 13:00
0.05593,5.357,41,0.0014267857,04/01/2014 14:00
0,0,0,0,04/01/2014 15:00
0,0,0,0,04/01/2014 16:00
0,0,0,0,04/01/2014 17:00
