Measurement Date,Month,Year,Cell Type,Group(s),Efficiency (%),,,,,,,,,,,,,,,,
Feb-85,2,1985,CdTe,ATEC,10.5,,,,,,,,,,,,,,,,
Dec-88,12,1988,Si - other,UNSW,18.2,,,,,,,,,,,,,,,,
Jun-88,6,1988,CI(G)S,ARCO,11.1,,,,,,,,,,,,,,,,
Jun-88,6,1988,a-Si - 1j,ARCO,6.8,,,,,,,,,,,,,,,,
Apr-89,4,1989,Si - mono - conc,Sandia/UNSW/ENTECH,20.3,,,,,,,,,,,,,,,,
Apr-90,4,1990,GaAs - 1j,Kopin,21.0,,,,,,,,,,,,,,,,
Feb-90,2,1990,a-Si - 1j,Solarex,9.8,,,,,,,,,,,,,,,,
Sep-91,9,1991,CdTe,Photon Energy,8.1,,,,,,,,,,,,,,,,
May-91,5,1991,CI(G)S,ARCO (Siemens Solar),9.8,,,,,,,,,,,,,,,,
Dec-92,12,1992,a-Si - 1j,Sanyo,12.0,,,,,,,,,,,,,,,,
May-92,5,1992,a-Si - 2j,Fuji Electric,10.1,,,,,,,,,,,,,,,,
May-93,5,1993,CdTe,"Solar Cells, Inc.",9.8,,,,,,,,,,,,,,,,
Jan-93,1,1993,CdTe,"Solar Cells, Inc.",9.1,,,,,,,,,,,,,,,,
Apr-93,4,1993,Si - mono - PERC,UNSW,20.5,,,,,,,,,,,,,,,,
Jun-93,6,1993,Si - mono - PERC,UNSW,20.8,,,,,,,,,,,,,,,,
Jul-93,7,1993,a-Si - 2j,USSC,11.0,,,,,,,,,,,,,,,,
Dec-93,12,1993,a-Si - 3j,USSC,10.2,,,,,,,,,,,,,,,,
Aug-93,8,1993,CdTe,Golden Photon,7.7,,,,,,,,,,,,,,,,
Oct-93,10,1993,CdTe,"Solar Cells, Inc.",7.8,,,,,,,,,,,,,,,,
Mar-94,3,1994,GaAs - 2j - conc,Boeing,25.1,,,,,,,,,,,,,,,,
Apr-94,4,1994,CI(G)S,Siemens (prism cover),12.7,,,,,,,,,,,,,,,,
Feb-94,2,1994,Si - mono - IBC,Honda/SunPower,21.6,,,,,,,,,,,,,,,,
Oct-94,10,1994,Si - multi,Sandia/Crystal systems,15.3,,,,,,,,,,,,,,,,
Jul-94,7,1994,CI(G)S,Siemens Solar,10.3,,,,,,,,,,,,,,,,
Sep-94,9,1994,Si - other,Texas Instruments,10.3,,,,,,,,,,,,,,,,
Nov-95,11,1995,CI(G)S,Solarex,13,,,,,,,,,,,,,,,,
Feb-95,2,1995,CdTe,ANTEC,10.6,,,,,,,,,,,,,,,,
Oct-96,10,1996,CI(G)S,Showa Shell,14.2,,,,,,,,,,,,,,,,
Apr-96,4,1996,CI(G)S,Univ. Stuttgart,13.9,,,,,,,,,,,,,,,,
Sep-96,9,1996,Si - mono - PERC,UNSW/Gochermann,22.7,,,,,,,,,,,,,,,,
Apr-96,4,1996,Si - mono - PERC,UNSW,22.3,,,,,,,,,,,,,,,,
Apr-96,4,1996,CdTe,"Solar Cells, Inc.",9.1,,,,,,,,,,,,,,,,
Apr-97,4,1997,CdTe,Golden Photon,9.2,,,,,,,,,,,,,,,,
Apr-97,4,1997,CI(G)S,Siemens Solar,11.1,,,,,,,,,,,,,,,,
Feb-98,2,1998,Nanocrystalline dye,INAP,4.7,,,,,,,,,,,,,,,,
Oct-98,10,1998,a-Si - 3j,USSC,10.4,,,,,,,,,,,,,,,,
Sep-98,9,1998,CI(G)S,Siemens Solar,11.8,,,,,,,,,,,,,,,,
Jul-99,7,1999,CI(G)S,Siemens Solar,14.7,,,,,,,,,,,,,,,,
Jul-99,7,1999,CI(G)S,U. Uppsala,14.7,,,,,,,,,,,,,,,,
Feb-99,2,1999,CdTe,Matsushita,10.5,,,,,,,,,,,,,,,,
Mar-99,3,1999,CI(G)S,Siemens Solar,12.1,,,,,,,,,,,,,,,,
Mar-00,3,2000,CI(G)S,U. Uppsala,16.6,,,,,,,,,,,,,,,,
May-00,5,2000,GaAs - 3j - conc,ENTECH,27.0,,,,,,,,,,,,,,,,
Apr-00,4,2000,CdTe,BP Solarex,10.7,,,,,,,,,,,,,,,,
May-00,5,2000,CdTe,BP Solarex,10.5,,,,,,,,,,,,,,,,
Jul-01,7,2001,Si - other,Pacific Solar,7.25,,,,,,,,,,,,,,,,
Jul-02,7,2002,Si - other,Pacific Solar,8.2,,,,,,,,,,,,,,,,
Aug-02,8,2002,CI(G)S,Showa Shell,13.4,,,,,,,,,,,,,,,,
Sep-04,9,2004,a-Si - 2j,Kaneka,11.7,,,,,,,,,,,,,,,,
Aug-05,8,2005,Dye sensitised,Sharp,6.3,,,,,,,,,,,,,,,,
Apr-06,4,2006,Si - thin film,GSC Solar,9.4,,,,,,,,,,,,,,,,
Aug-06,8,2006,Si - thin film,CSG,9.8,,,,,,,,,,,,,,,,
Dec-07,12,2007,Dye sensitised,Sharp,8.2,,,,,,,,,,,,,,,,
Jun-07,6,2007,Dye sensitised,Sharp,7.9,,,,,,,,,,,,,,,,
Aug-07,8,2007,Si - thin film,CSG Solar,10.4,,,,,,,,,,,,,,,,
May-07,5,2007,Si - mono - IBC,SunPower,19.7,,,,,,,,,,,,,,,,
Aug-07,8,2007,Si - mono - IBC,SunPower,20.1,,,,,,,,,,,,,,,,
Aug-08,8,2008,GaAs - 4j - conc,DuPont et al.,38.5,,,,,,,,,,,,,,,,
Jun-08,6,2008,Dye sensitised,Sony,8.2,,,,,,,,,,,,,,,,
Sep-08,9,2008,GaAs - 1j - conc,ECN Petten,7.1,,,,,,,,,,,,,,,,
Mar-08,3,2008,OPV,Plextronics,1.1,,,,,,,,,,,,,,,,
Aug-09,8,2009,GaAs - 4j - conc,U. Delaware,36.1,,,,,,,,,,,,,,,,
Apr-09,4,2009,Dye sensitised,Sony,8.4,,,,,,,,,,,,,,,,
Jun-09,6,2009,Dye sensitised,Sony,8.5,,,,,,,,,,,,,,,,
Jul-09,7,2009,OPV,Solarmer,3.5,,,,,,,,,,,,,,,,
Jan-09,1,2009,OPV,Plextronics,2.05,,,,,,,,,,,,,,,,
Nov-09,11,2009,Si - multi,ECN/REC,17.0,,,,,,,,,,,,,,,,
Oct-09,10,2009,Si - mono - IBC,SunPower,21.4,,,,,,,,,,,,,,,,
Aug-10,8,2010,Dye Sensitized,Sony,9.9,,,,,,,,,,,,,,,,
Feb-10,2,2010,Dye Sensitized,Sony,9.2,,,,,,,,,,,,,,,,
Sep-10,9,2010,CdTe,ASP Hangzhou,12.5,,,,,,,,,,,,,,,,
